ward_code,ward_name,ward_name_en,ward_full_name,ward_full_name_en,ward_type,province_code,province_name,province_name_en,center_lat,center_lng,bbox_south,bbox_north,bbox_west,bbox_east,area_km2
09877,An Khánh,An Khanh,Xã An Khánh,An Khanh Commune,Xã,01,Hà Nội,Hanoi,20.987788,105.707888,20.955372,21.011152,105.663925,105.742777,28.69
09700,Ba Vì,Ba Vi,Xã Ba Vì,Ba Vi Commune,Xã,01,Hà Nội,Hanoi,21.058094,105.341545,21.007239,21.11401,105.293377,105.387487,81.27
00004,Ba Đình,Ba Dinh,Phường Ba Đình,Ba Dinh Ward,Phường,01,Hà Nội,Hanoi,21.03853,105.838061,21.028247,21.050628,105.826595,105.850367,2.97
00292,Bạch Mai,Bach Mai,Phường Bạch Mai,Bach Mai Ward,Phường,01,Hà Nội,Hanoi,21.002211,105.851959,20.995188,21.009184,105.841259,105.862231,2.95
09676,Bất Bạt,Bat Bat,Xã Bất Bạt,Bat Bat Commune,Xã,01,Hà Nội,Hanoi,21.167423,105.332314,21.070456,21.208249,105.285352,105.376569,56.43
00577,Bát Tràng,Bat Trang,Xã Bát Tràng,Bat Trang Commune,Xã,01,Hà Nội,Hanoi,20.969142,105.911856,20.927075,21.012319,105.88128,105.944879,20.67
10126,Bình Minh,Binh Minh,Xã Bình Minh,Binh Minh Commune,Xã,01,Hà Nội,Hanoi,20.904172,105.761842,20.869891,20.939739,105.722392,105.801593,29.86
00118,Bồ Đề,Bo De,Phường Bồ Đề,Bo De Ward,Phường,01,Hà Nội,Hanoi,21.051365,105.870525,21.021044,21.08116,105.840993,105.890555,12.94
00166,Cầu Giấy,Cau Giay,Phường Cầu Giấy,Cau Giay Ward,Phường,01,Hà Nội,Hanoi,21.030915,105.788062,21.017657,21.041853,105.778648,105.801292,3.74
10237,Chương Dương,Chuong Duong,Xã Chương Dương,Chuong Duong Commune,Xã,01,Hà Nội,Hanoi,20.835352,105.900796,20.794717,20.87774,105.867764,105.936104,28.89
10015,Chương Mỹ,Chuong My,Phường Chương Mỹ,Chuong My Ward,Phường,01,Hà Nội,Hanoi,20.924878,105.698546,20.885511,20.96476,105.662111,105.736443,38.9
10330,Chuyên Mỹ,Chuyen My,Xã Chuyên Mỹ,Chuyen My Commune,Xã,01,Hà Nội,Hanoi,20.716266,105.883662,20.668409,20.762737,105.843683,105.922844,35.54
09634,Cổ Đô,Co Do,Xã Cổ Đô,Co Do Commune,Xã,01,Hà Nội,Hanoi,21.268806,105.397387,21.226525,21.305777,105.34728,105.445576,53.25
00082,Cửa Nam,Cua Nam,Phường Cửa Nam,Cua Nam Ward,Phường,01,Hà Nội,Hanoi,21.022639,105.850741,21.017931,21.029076,105.841439,105.862046,1.68
