code,name,name_en,full_name,full_name_en,code_name,unit_type,center_lat,center_lng,bbox_south,bbox_north,bbox_west,bbox_east,area_km2,ward_count
91,An Giang,An Giang,Tỉnh An Giang,An Giang Province,an_giang,Tỉnh,10.182408,105.027611,9.286736,10.963408,102.877703,105.573884,9888.91,102
24,Bắc Ninh,Bac Ninh,Tỉnh Bắc Ninh,Bac Ninh Province,bac_ninh,Tỉnh,21.315286,106.413877,20.970044,21.627101,105.879743,107.030336,4718.6,99
96,Cà Mau,Ca Mau,Tỉnh Cà Mau,Ca Mau Province,ca_mau,Tỉnh,9.135287,105.181475,8.413653,9.637633,104.520498,105.858648,7942.39,64
92,Cần Thơ,Can Tho,Thành phố Cần Thơ,Can Tho City,can_tho,Thành phố,9.743722,105.756951,9.246475,10.326026,105.223977,106.301682,6360.83,103
04,Cao Bằng,Cao Bang,Tỉnh Cao Bằng,Cao Bang Province,cao_bang,Tỉnh,22.74556,106.083299,22.358478,23.119536,105.264845,106.834385,6700.39,56
52,Gia Lai,Gia Lai,Tỉnh Gia Lai,Gia Lai Province,gia_lai,Tỉnh,13.890179,108.438437,12.997231,14.703668,107.448344,109.29687,21576.53,135
01,Hà Nội,Hanoi,Thành phố Hà Nội,Hanoi City,ha_noi,Thành phố,21.000103,105.698007,20.564756,21.384203,105.28695,106.018302,3359.84,126
42,Hà Tĩnh,Ha Tinh,Tỉnh Hà Tĩnh,Ha Tinh Province,ha_tinh,Tỉnh,18.29128,105.734977,17.914372,18.806728,105.102024,106.508304,5994.45,69
31,Hải Phòng,Haiphong,Thành phố Hải Phòng,Haiphong City,hai_phong,Thành phố,20.870087,106.507318,20.125148,21.234481,106.126171,107.739616,3194.72,114
79,Hồ Chí Minh,Ho Chi Minh,Thành phố Hồ Chí Minh,Ho Chi Minh City,ho_chi_minh,Thành phố,10.864358,106.843627,8.631498,11.502677,106.327727,107.56973,6772.59,168
46,Huế,Hue,Thành phố Huế,Hue City,hue,Thành phố,16.331554,107.517311,15.996149,16.743931,107.03254,108.192161,4947.11,40
33,Hưng Yên,Hung Yen,Tỉnh Hưng Yên,Hung Yen Province,hung_yen,Tỉnh,20.618868,106.270657,20.244262,21.007844,105.893333,106.652675,2514.81,104
